"rowType","checkName","status","details"
"summary_check","tsc_noEmit","PASS","npx.cmd tsc --noEmit exited 0"
"summary_check","astro_check","PASS","npx.cmd astro check exited 0; 0 errors, 0 warnings, 16 existing hints"
"summary_check","build","PASS","1870 pages built; expected 1870"
"summary_check","b01_page_count","PASS","731 B01 localized pages; expected 731"
"summary_check","total_localized_pages_after_b01","PASS","1411 localized tool pages; expected 1411"
"summary_check","localized_sitemap_urls","PASS","1411 localized sitemap URLs; expected 1411"
"summary_check","no_noindex_in_localized_sitemap","PASS","0"
"summary_check","no_redirected_in_localized_sitemap","PASS","0"
"summary_check","broken_localized_internal_links","PASS","0"
"summary_check","page_level_quality","PASS","0 failing B01 page rows"
"summary_check","noindex_source_count_unchanged","PASS","52"
"summary_check","redirect_count_unchanged","PASS","20"
"language_summary","language_es","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_fr","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_de","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_pt","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_it","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_pl","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_ru","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_tr","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_id","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_sv","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_ms","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_bg","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_hi","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_bn","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_ja","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_ko","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"language_summary","language_ar","PASS","B01=43; totalAfterB01=83; duplicateB01Slugs=0"
"page","glitch-text-generator:es","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:fr","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:de","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:pt","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:it","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:pl","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:ru","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:tr","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:id","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:sv","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:ms","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:bg","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:hi","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:bn","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:ja","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:ko","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","glitch-text-generator:ar","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:es","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:fr","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:de","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:pt","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:it","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:pl","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:ru","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:tr","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:id","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:sv","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:ms","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","lorem-ipsum-generator:bg","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
